Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/4bd97130a89c2f9080259d8e87d8d713a23fd0e4336eabb0bf47a44d700ec842.png | Prediction: goodware | Probability: 0.9940 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/9239c19692bdd4b0fda67acf4a2ad9de234ecdfcf213520dd22f41b32845074c.png | Prediction: goodware | Probability: 0.9879 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/c460fc0d4fdaf5c68623e18de106f1c3601d7bd6ba80ddad86c10fd6ea123850.png | Prediction: goodware | Probability: 0.9996 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/c51bce247bee4a6f4cd2d7d45483b5b1d9b53f8cc0e04fb4f4221283e356959d.png | Prediction: goodware | Probability: 0.8855 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/c56792bea8ac5fbf893ae3df1be0c3c878a615db6b24fd5253e5cbbc2e3e1dd3.png | Prediction: goodware | Probability: 0.9999 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/9ccb4ed133be5c9c554027347ad8b722f0b4c3f14bfd947edfe75a015bf085e5.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/9d4b4c39106f8e2fd036e798fc67bbd7b98284121724c0f845bca0a6d2ae3999.png | Prediction: goodware | Probability: 0.9881 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/ae66e009e16f0fad3b70ad20801f48f2edb904fa5341a89e126a26fd3fc80f75.png | Prediction: goodware | Probability: 0.9385 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/b02c56d29447690cdafd8f2f6877d526d1f6efcaae74017719c460d9b3ee38b8.png | Prediction: goodware | Probability: 0.5091 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/c8d699c35d307046d0b43f99eebbfe9c5dc2ee088ae7a0cd80b5cf766f6f7e9f.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/c977ac10aa3d2250a1af39630f532184a5185f505bcd5f03ea7083a3a701a969.png | Prediction: goodware | Probability: 0.9030 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/c999bf5da5ea3960408d3cba154f965d3436b497ac9d4959b412bfcd956c8491.png | Prediction: goodware | Probability: 0.9989 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/4fb585f2c57b3b5f9325fca9a73e70d923dcd2a3e09754c82ce8ef56006ad06f.png | Prediction: goodware | Probability: 0.5945 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/5130f600cd9a9cdc82d4bad938b20cbd2f699aadb76e7f3f1a93602330d9997d.png | Prediction: goodware | Probability: 0.9787 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/e784e95fb5b0188f0c7c82add9a3c89c5bc379eaf356a4d3876d9493a986e343.png | Prediction: goodware | Probability: 0.9999 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/e89614e3b0430d706bef2d1f13b30b43e5c53db9a477e2ff60ef5464e1e9add4.png | Prediction: goodware | Probability: 0.9993 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/7634433f8fcf4d13fb46d680802e48eeb160e0f51e228cae058436845976381e.png | Prediction: goodware | Probability: 0.7716 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/3639e8cc463922b427ea20dce8f237c0c0e82aa51d2502c48662e60fb405f677.png | Prediction: goodware | Probability: 0.9993 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/366affd094cc63e2c19c5d57a6866b487889dab5d1b07c084fff94262d8a390b.png | Prediction: goodware | Probability: 0.9219 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/388f5bc2f088769b361dfe8a45f0d5237c4580b287612422a03babe6994339ff.png | Prediction: goodware | Probability: 0.9171 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/8a5cce25f1bf60e716709c724b96630b95e55cc0e488d74d60ea50ffba7d6946.png | Prediction: goodware | Probability: 0.9972 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/8bb5c766de0a73dc0eff7c9fce086565b6220465185e258c21c5b9dfb0bef51d.png | Prediction: goodware | Probability: 0.9995 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/8c213b3707b0b042d769fdf543c6e8bd7c127cea6a9bc989eaf241a1505d1ed9.png | Prediction: goodware | Probability: 0.8979 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/c7212d249b5eb7e2cea948a173ce96e1d2b8c44dcc2bb1d101dce64bb3f5becc.png | Prediction: goodware | Probability: 0.9655 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/ca63dbb99d9da431bf23aca80dc787df67bb01104fb9358a7813ed2fce479362.png | Prediction: goodware | Probability: 0.8080 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/cee4a7208ec3144eda92df0fc1ba27ebad356aa0a3b5e50afab133bbbee14be2.png | Prediction: goodware | Probability: 0.7736 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/db0831e19a4e3a736ea7498dadc2d6702342f75fd8f7fbae1894ee2e9738c2b4.png | Prediction: goodware | Probability: 0.9949 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/e3892d2d9f87ea848477529458d025898b24a6802eb4df13e96b0314334635d0.png | Prediction: goodware | Probability: 0.5688 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/ebc324308ee01698aeb02ab5de68cc7d8f9e13bd9f4d8edc7daeb438850612b9.png | Prediction: goodware | Probability: 0.9943 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/85b936960fbe5100c170b777e1647ce9f0f01e3ab9742dfc23f37cb0825b30b5.png | Prediction: goodware | Probability: 0.8610 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/2c9c3ddd4d93e687eb095444cef7668b21636b364bff55de953bdd1df40071da.png | Prediction: goodware | Probability: 0.9843 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/2de76a3c07344ce322151dbb42febdff97ade8176466a3af07e5280bd859a186.png | Prediction: goodware | Probability: 0.6005 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/2df5bbe0e055e2af7d32e3b71ea80b70f844a917229a6b7f9668eca31c3d813e.png | Prediction: goodware | Probability: 0.9842 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/d0dd9c624bb2b33de96c29b0ccb5aa5b43ce83a54e2842f1643247811487f8d9.png | Prediction: goodware | Probability: 0.9996 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/d12cd9490fd75e192ea053a05e869ed2f3f9748bf1563e6e496e7153fb4e6c98.png | Prediction: goodware | Probability: 0.9795 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/d2b612729d0c106cb5b0434e3d5de1a5dc9d065d276d51a3fb25a08f39e18467.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/d3c6985d965cad5bff6075677ed8c2cafee4c3a048fb5af81b442665c76dff7b.png | Prediction: goodware | Probability: 0.6620 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/92c6a9e648bfd98bbceea3813ce96c6861487826d6b2c3d462debae73ed25b34.png | Prediction: goodware | Probability: 0.9924 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/93f0a1fe486ad222b742e451f25f4c9219b1e0f5b4273a15ce08dd714827745a.png | Prediction: goodware | Probability: 0.9988 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/2ecb26021d21fcef3d8bba63de0c888499110a2b78e4caa6fa07a2b27d87f71b.png | Prediction: goodware | Probability: 0.9761 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/2fc39463b6db44873c9c07724ac28b63cdd72f5863a4a7064883e3afdd141f8d.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/3a93d0b4345900c5eddfaa574b721546312468a418f34b39bcefbbda9118b0cb.png | Prediction: goodware | Probability: 0.5559 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/6de1bb58ae3c37876c6372208366f5548fcc647ffd19ad1d31cebd9069b8a559.png | Prediction: goodware | Probability: 0.7570 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/6e09e1a4f56ea736ff21ad5e188845615b57e1a5168f4bdaebe7ddc634912de9.png | Prediction: goodware | Probability: 0.9843 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/6f1c31f5944e46b063abbb6296b3a0d4c06037d4bdfd83ed05119e2505adabc5.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/70dbb0b5562cd034c6b70a4a86a346b0f0039acf1b09f5814c42895963e12ea0.png | Prediction: goodware | Probability: 0.9974 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/70efbd074326e7bbd4e851ded5c362fe5fe06282ed4bbb4b9f761f1b12ee32f7.png | Prediction: goodware | Probability: 0.9926 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/70f8789b03e38d07584f57581363afa848dd5c3a197f2483c6dfa4f3e7f78b9b.png | Prediction: goodware | Probability: 0.9995 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/40446dc76753b060a97497cad804f717682f2a88c3e10d3ae2995c099dbcd5f1.png | Prediction: goodware | Probability: 0.6158 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/483fe88d70cb09361c27468b97b7f96bd667d8c915c9f004a27d4260367d551b.png | Prediction: goodware | Probability: 0.7146 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/4bfe2216ee63657312af1b2507c8f2bf362fdf1d63c88faba397e880c2e39430.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/b4cf4607f28746bf56e08cf83a48c0dca70e5195cfc2d960eff2f1662d9234c1.png | Prediction: goodware | Probability: 0.9999 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/c16410c49dc40a371be22773f420b7dd3cfd4d8205cf39909ad9a6f26f55718e.png | Prediction: goodware | Probability: 0.9864 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/c1f6f5c2cb8ee4ca4e4e4362eea1ae22c0c932e10e06917b83d9c3dde43f88d0.png | Prediction: goodware | Probability: 0.7083 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/18fd6b193be1d5416a3188f5d9e4047cca719fa067d7d0169cf2df5c7fed54c0.png | Prediction: goodware | Probability: 0.9999 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/1c0ea462f0bbd7acfdf4c6daf3cb8ce09e1375b766fbd3ff89f40c0aa3f4fc96.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/f0df80978b3a563077def7ba919e2f49e5883d24176e6b3371a8eef1efe2b06a.png | Prediction: goodware | Probability: 0.9694 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/f152ed03e4383592ce7dd548c34f73da53fc457ce8f26d165155a331cde643a9.png | Prediction: goodware | Probability: 0.9993 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/f18081303b2e06b3bb5c6503a78350a1298dbc650a6bfa9961e3bf6e522d7a83.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/ab4ce25341baa2cc478faf507ff28a8c93b1320f243ced073c10ad2b6c6e1476.png | Prediction: goodware | Probability: 0.9345 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/aceb27720115a63b9d47e737fd878a61c52435ea4ec86ba8e58ee744bc85c4f3.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/5bae961fec67565fb88c8bcd3841b7090566d8fc12ccb70436b5269456e55c00.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/5d204ca32a5ed72511decd3245b6cf4731378e5b5e0bf8eb5acb8069adf5136d.png | Prediction: goodware | Probability: 0.9345 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/5d40615701c48a122e44f831e7c8643d07765629a83b15d090587f469c77693d.png | Prediction: goodware | Probability: 0.9995 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/653bc2b16b1624e045c1225810185e9aa3694dc378fe0095e2052b7f1e265d01.png | Prediction: goodware | Probability: 0.9818 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/f659b269fbe4128588f7a2fa4d6022cc74e508d28eee05c5aff26cc23b7bd1a5.png | Prediction: goodware | Probability: 0.9960 




stopped here




Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/4c01ffcc90e6271374b34b252fefb5d6fffda29f6ad645a879a159f78e095979.png | Prediction: goodware | Probability: 0.9999 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/4c1dc737915d76b7ce579abddaba74ead6fdb5b519a1ea45308b8c49b950655c.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/4c2efe2f1253b94f16a1cab032f36c7883e4f6c8d9fc17d0ee553b5afb16330c.png | Prediction: goodware | Probability: 0.9998 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/4eabb1adc035f035e010c0d0d259c683e18193f509946652ed8aa7c5d92b6a92.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/e1f52ea30d25289f7a4a5c9d15be97c8a4dfe10eb68ac9d031edcc7275c23dbc.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/db36ad77875bbf622d96ae8086f44924c37034dd95e9eb6d6369cc6accd2a40d.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/129b8825eaf61dcc2321aad7b84632233fa4bbc7e24bdf123b507157353930f0.png | Prediction: goodware | Probability: 0.9764 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/12e6642cf6413bdf5388bee663080fa299591b2ba023d069286f3be9647547c8.png | Prediction: goodware | Probability: 0.9998 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/81cdbe905392155a1ba8b687a02e65d611b60aac938e470a76ef518e8cffd74d.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/09e9fb8beb798f2c17a311d59c0a44d9e815d6cad8ea4feadd77a66d4d3706b5.png | Prediction: goodware | Probability: 0.9403 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/0abbe08ec50615e8c1e87192d61b1419e7780251a035e72ffd92e0c6cde60ca2.png | Prediction: goodware | Probability: 0.6766 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/0d7d4dc173c88c4f72c8f9f419ae8473d044f4b3e8f32e4a0f34fe4bbc698776.png | Prediction: goodware | Probability: 0.9963 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/0d8c2bcb575378f6a88d17b5f6ce70e794a264cdc8556c8e812f0b5f9c709198.png | Prediction: goodware | Probability: 0.9978 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/9ea5aa00e0a738b74066c61b1d35331170a9e0a84df1cc6cef58fd46a8ec5a2e.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/3536df7379660d931256b3cf49be810c0d931c3957c464d75e4cba78ba3b92e3.png | Prediction: goodware | Probability: 0.9826 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/3564ceb9251eccd82d0c060c0dca83c9812f72c5fb72b5c25443dfd8a780c734.png | Prediction: goodware | Probability: 0.9989 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/3596e8fa5e19e860a2029fa4ab7a4f95fadf073feb88e4f82b19a093e1e2737c.png | Prediction: goodware | Probability: 0.9991 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/35b067642173874bd2766da0d108401b4cf45d6e2a8b3971d95bf474be4f6282.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/42028874fae37ad9dc89eb37149ecb1e6439869918309a07f056924c1b981def.png | Prediction: goodware | Probability: 0.6447 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/44100c73c6e2529c591a10cd3668691d92dc0241152ec82a72c6e63da299d3a2.png | Prediction: goodware | Probability: 0.9996 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/444979a2387530c8fbbc5ddb075b15d6a4717c3435859955f37ebc0f40a4addc.png | Prediction: goodware | Probability: 0.9998 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/454e6c3d8c1c982cd301b4dd82ec3431935c28adea78ed8160d731ab0bed6cb7.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/a3a43bbc69e24c0bc3ab06fbf3ccc35cf8687e2862f86fb0d269258b68c710c9.png | Prediction: goodware | Probability: 0.8052 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/a418edc5f1fb14fbf9398051225f649810fa75514ca473610be44264bf3c663c.png | Prediction: goodware | Probability: 0.8873 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/a880d7c77491fcc6f9c88bae064f075a339e6753ef9fa9410b928565887c13b7.png | Prediction: goodware | Probability: 0.9997 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/a8ab526718cc2767ca5f29612a76dc0bc36a9b11542aa3de92e35e41b98d346c.png | Prediction: goodware | Probability: 0.8367 
